# Rime user dictionary
#@/db_name	sadfesKzaVassuk.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	514
#@/user_id	56730ff0-27cf-4b75-93af-e031cab1c7c4
acfji mofA; 	專門	c=3 d=2.11008 t=473
aiaio guz<e 	之後	c=4 d=2.16536 t=411
aifjc deaac 	真題	c=1 d=1 t=59
anahi 	舟	c=1 d=1 t=353
apqy; jtkib 	主席	c=1 d=1 t=79
apzxg vdkb; 	註冊	c=1 d=1 t=106
aqznl gzzm; 	這下	c=1 d=1 t=2
aqznl pmam; 	這不	c=1 d=1 t=302
aqznl yqxde 	這樣	c=1 d=1 t=115
atbhv lnaeu 	製流	c=1 d=1 t=244
bewt; kleip 	並感	c=1 d=1 t=243
bewt; pmam; 	並不	c=1 d=1 t=358
bgsmj kyfgm 	平均	c=4 d=2.02638 t=414
bgtrn nifo; 	別人	c=4 d=2.76915 t=483
bgtrn tekh; 	別的	c=1 d=1 t=53
blaq; nifo; 	夫人	c=1 d=1 t=255
boqyl bmvch 	部分	c=16 d=13.6924 t=440
boqyl pmfch 	部分	c=2 d=1.95123 t=262
ciqod 	仔	c=1 d=1 t=206
cqarm blaq; 	嗟夫	c=1 d=1 t=506
cqwvk tgtqr dajei 	獎哲濤	c=-1 d=1 t=466
csbae gjrnl 	最近	c=1 d=1 t=458
csbae xxbpk 	最快	c=2 d=1.99501 t=150
ctdf; kstqr gamrn 	尖括號	c=1 d=1 t=124
ctpqv gjrnl 	接近	c=1 d=1 t=168
ctpqv xuqr; 	接口	c=5 d=4.32693 t=273
cuw>p itqao 	總是	c=1 d=1 t=127
dabk; 	大	c=0 d=0.1 t=258
dabk; hlyej 	大海	c=1 d=1 t=76
dabk; laujp ohqhv 	大老鼠	c=1 d=1 t=259
dajei 	濤	c=1 d=1 t=441
deaac mmkB; 	題目	c=2 d=1.15645 t=435
dejRo 	跳	c=1 d=1 t=25
dejxr oizxm 	調試	c=1 d=1 t=84
dezhh qitm; boqyl 	第一部	c=1 d=1 t=232
dezhh qitm; boqyl bmvch 	第一部分	c=2 d=1.86502 t=434
dhshg sqqjf 	重寫	c=1 d=1 t=61
ding; bozxh 	地步	c=1 d=1 t=170
djaNd leun; 	除了	c=3 d=2.05812 t=366
dsrpl teewr 	斷點	c=1 d=1 t=83
dusyg 	童	c=1 d=1 t=311
duxer 	洞	c=1 d=1 t=401
dwssv 	長	c=0 d=0.1 t=391
dwssv naftg klzp; 	長難句	c=3 d=2.65806 t=430
ftfht 	扁	c=1 d=1 t=352
gajxu pmam; 	毫不	c=3 d=2.73874 t=499
gepr; 	叶	c=2 d=1.40252 t=201
getm; mtvml 	頁面	c=1 d=1 t=43
gjkhd gkatb 	學期	c=5 d=4.42922 t=254
gjrnl gkatb 	近期	c=1 d=1 t=13
gkat; tmsl; 	其中	c=3 d=1.5922 t=446
gldmo 	函	c=1 d=1 t=305
gohw; llhdo 	回來	c=1 d=1 t=74
gsboa yvfrc 	會員	c=1 d=1 t=105
guz<e mtvml 	後面	c=1 d=1 t=174
gxfnl nlsip 	還能	c=2 d=1.41895 t=277
