
間	ka
㕥	yr
佢	go
対	ty
余	lo
乺	sh
昰	da
是	ia
嗰	gr
打	tq
#-

𠂇	ch
𢦏	cj
䙡	xl
䱷	wy
䜌	lv
䜌	lv
䜌	lv
吖	qr
阿	qn
啊	qr
錒	qc
嗄	qr
嗄	sr
哎	wr
哎	qr
哀	qy
埃	qg
唉	qr
唉	qr
㶼	hf
㶼	qf
欸	hi
欸	qi
欸	qi
𢰇	qq
溾	ge
溾	qe
鎄	qc
挨	qq
挨	qq
捱	wq
啀	wr
娾	wv
娾	wv
嵦	wu
溰	we
㱯	km
㱯	wm
皚	wh
癌	wk
䶣	ky
毐	qg
毐	qg
𦚪	yb
㢊	qi
矮	qo
𧡋	wm
躷	qh
䑂	yb
藹	qt
靄	qm
靄	qm
艾	wt
艾	wt
㤅	qm
砹	qm
硋	wm
𧰿	wm
隘	qn
嗌	qr
愛	qb
㾢	lk
㾢	lk
𢟪	ha
𢟪	qa
𢟰	wp
䔽	qt
䔽	qt
䅬	qh
僾	qo
僾	qo
壒	qg
鴱	wt
薆	qt
噯	qr
㿄	qk
㿄	qk
𢣏	qp
嬡	qv
璦	qm
𦗐	ws
𣩱	qm
𣋞	qa
賹	qb
曖	qa
曖	qa
𧏹	wl
馤	qh
礙	wm
𥴨	qh
譺	wy
譺	wy
譺	wy
𪕭	qh
𨽴	qh
安	qj
侒	qo
䢿	qj
䢿	qj
桉	qd
氨	qo
㞄	qk
㞄	qk
庵	qi
庵	qi
䀂	qj
媕	qv
媕	qv
媕	qv
腤	qb
鞍	qt
鞌	qj
盦	qo
盦	qo
諳	qy
闇	qa
馣	qh
鵪	qk
韽	qo
韽	qo
䳺	qo
𡪁	wj
𡽜	wu
䜙	wy
垵	qg
俺	qo
俺	qo
俺	qo
埯	qg
埯	qg
唵	qr
隌	qn
隌	qn
揞	qq
揞	qq
晻	qa
晻	qa
罯	qw
罯	qw
銨	qc
㜝	wv
𤃷	qe
𤃷	qe
犴	wk
犴	wk
岸	wu
按	qq
荌	qt
洝	qe
豻	gb
豻	xb
豻	wb
豻	wb
胺	qb
胺	qb
案	qj
䅁	qj
𡹼	wu
暗	qa
𨲊	ws
儑	wo
儑	wo
儑	wo
䮗	ws
黯	qw
黯	qw
肮	gb
骯	gb
骯	xb
䒢	wt
䒢	wt
枊	wd
枊	wd
昂	wa
㭿	wd
䩕	wt
䭹	ws
䭹	ws
䭹	ws
䇦	qh
𡵙	wu
盎	ql
盎	ql
醠	qm
醠	qm
凹	qs
㕭	qr
軪	qj
軪	qj
𤏶	qf
䫜	qu
敖	wg
嗸	wg
嶅	wg
遨	wy
蔜	wt
嗷	wr
廒	wi
滶	we
璈	wm
𣘢	wg
獒	wg
𢧴	wg
摮	wg
熬	wg
磝	wm
聱	wg
聱	wg
聱	wg
螯	wg
𦪈	wg
翱	wh
謷	wg
謷	wg
謷	wg
䦋	ws
翶	wh
翺	wh
𩪋	wg
𩪕	wb
鏖	qi
鷔	wg
鷔	wg
鰲	wg
䥝	qc
鼇	wg
芺	qt
芺	qt
㑃	qo
㤇	qp
镺	qs
镺	qs
媪	qv
𩑤	wo
媼	qv
𦽀	wt
襖	ql
𪁾	qt
䯠	qb
坳	qg
岰	qu
奡	wm
傲	wo
奥	qh
嫯	wg
嫯	wg
奧	qh
嶴	qh
澳	qe
澳	qe
懊	qp
懊	qp
懊	qp
䐿	qb
䐿	qb
䐿	qb
鏊	wg
鏊	wg
䫨	wg
䫨	wg
䜒	qy
驁	wg
驁	wg
𩟇	qo
𩼈	qn
八	ph
巴	pa
扒	pq
扒	pq
扒	pq
叭	fr
玐	pm
朳	pd
芭	pt
岜	pu
㺴	pm
疤	pk
㿬	pd
捌	pq
捌	pq
蚆	fl
蚆	pl
哵	pr
笆	bh
笆	ph
釟	pc
羓	pt
粑	pf
㭭	pd
㭭	pd
豝	pm
𩡩	ps
犮	bi
坺	bg
坺	bg
拔	bq
拔	bq
拔	bq
茇	bt
茇	pt
𢇷	bi
妭	bv
胈	bb
炦	bf
癹	bn
𥎱	bo
𧺡	bg
菝	bt
菝	bt
𧺺	bg
軷	bj
軷	bj
跋	br
䤢	pc
魃	bh
颰	bh
